                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1895,                 2.3677,                 1.2431,                0.95193,                0.10651,                0.61472,                0.36722,                 1.1892,                 3.6824,                 1.2692,             0.00065041,             0.00065041,             0.00065041
                      2,                 1.0909,                 1.6489,                 1.1942,                0.47797,                 0.1828,                0.23837,                0.10608,                 1.7858,                  3.695,                 1.8201,               0.001304,               0.001304,               0.001304
                      3,                 1.1198,                 1.5209,                 1.1862,                 0.5442,                 0.5914,                0.51584,                0.27806,                   1.62,                 2.9466,                  1.729,              0.0019445,              0.0019445,              0.0019445
                      4,                 1.1533,                 1.3177,                 1.2154,                0.72932,                0.62903,                0.70582,                0.42061,                 1.2619,                 2.4821,                 1.3355,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1309,                 1.1838,                 1.1983,                0.57098,                0.45795,                0.41674,                0.28281,                 1.3299,                 3.3044,                 1.4152,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0822,                 1.0938,                 1.1963,                0.75857,                0.71505,                0.80098,                0.55111,                  1.166,                 1.3019,                 1.3272,               0.001901,               0.001901,               0.001901
                      7,                 1.1062,                 1.0046,                 1.2078,                0.96737,                0.86559,                0.95776,                0.70573,                0.95768,                0.83126,                  1.136,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0641,                0.93578,                 1.1668,                0.94332,                0.72581,                0.87163,                 0.6159,                 1.0216,                 1.0236,                  1.169,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0083,                0.82458,                 1.1425,                 0.8806,                0.84409,                 0.9037,                0.63323,                 1.1123,                0.98024,                 1.2612,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0232,                 0.8585,                 1.1318,                0.91917,                0.79477,                0.89189,                0.65251,                0.95395,                 1.1387,                 1.1383,              0.0018218,              0.0018218,              0.0018218
                     11,                 0.9925,                0.78938,                 1.1147,                0.95402,                0.86022,                0.95528,                 0.7056,                0.93403,                 0.7504,                  1.124,               0.001802,               0.001802,               0.001802
                     12,                 1.0199,                0.77341,                 1.1558,                0.91757,                0.89785,                0.93741,                0.72004,                0.85434,                0.68938,                 1.0587,              0.0017822,              0.0017822,              0.0017822
                     13,                 0.9892,                0.73966,                 1.1384,                0.95629,                 0.8871,                0.95074,                0.70793,                 0.8927,                0.66369,                 1.0769,              0.0017624,              0.0017624,              0.0017624
                     14,                0.96795,                0.71985,                 1.1199,                0.92349,                0.84367,                0.90826,                0.68237,                0.93291,                0.78684,                 1.1185,              0.0017426,              0.0017426,              0.0017426
                     15,                0.96514,                0.72258,                 1.1247,                0.95086,                0.83228,                0.92084,                0.69587,                0.93121,                 0.7665,                 1.1259,              0.0017228,              0.0017228,              0.0017228
                     16,                0.95715,                0.70031,                 1.1279,                0.97956,                0.93011,                0.97274,                0.74924,                0.87756,                0.58549,                  1.065,               0.001703,               0.001703,               0.001703
